Year,Registration,VAP Turnout,Voting age population,Compulsory Voting,Election Type,Voter Turnout
2007,4000000.0,0.6183,3796635.0,0,Parliamentary,0.5869
2003,3084422.0,0.522,3302946.0,0,Parliamentary,0.5589999999999999
1999,2533399.0,0.6585,2697063.0,0,Parliamentary,0.7011
1995,2536234.0,0.7365,2610380.0,0,Parliamentary,0.758
1991,2069343.0,0.4654,2297830.0,0,Parliamentary,0.5168
2021,4802303.0,0.4439,5544943.0,0,Presidential,0.5063
2016,4746348.0,0.5835,5378554.0,0,Presidential,0.6613
2016,4746348.0,0.5829,5378554.0,0,Presidential,0.6605
2011,3668558.0,0.6839,4550388.0,0,Presidential,0.8482
2006,3919550.0,0.7423000000000001,3671785.0,0,Presidential,0.6954
2006,3917865.0,0.8686,3671785.0,0,Presidential,0.8140000000000001
2001,3152365.0,0.5535,3085115.0,0,Presidential,0.5417000000000001
2001,3034471.0,0.863,3085115.0,0,Presidential,0.8774
1996,2524262.0,0.7290000000000001,2686990.0,0,Presidential,0.7759999999999999
1996,2517970.0,0.8231,2686990.0,0,Presidential,0.8784000000000001
1991,2052638.0,0.5722999999999999,2297830.0,0,Presidential,0.6406999999999999
1991,2064311.0,0.5059,2297830.0,0,Presidential,0.5631
2025,45064.0,0.4224,58665.0,0,Parliamentary,0.5499
2020,42638.0,0.4539,57233.0,0,Parliamentary,0.6093
2017,46669.0,0.6056,56246.0,0,Parliamentary,0.7298
2012,43652.0,0.5722,53937.0,0,Parliamentary,0.7070000000000001
2007,42337.0,0.6273,51057.0,0,Parliamentary,0.7565000000000001
2003,39324.0,0.6019,48968.0,0,Parliamentary,0.7495
1998,36073.0,,,0,Parliamentary,0.8144
1989,31162.0,,,0,Parliamentary,0.7432
2024,498135.0,0.5213,626802.0,0,Parliamentary,0.6559999999999999
2023,497058.0,0.4996,626802.0,0,Parliamentary,0.63
2018,438663.0,0.5908,530575.0,0,Parliamentary,0.7145999999999999
2013,381790.0,0.5396,467896.0,0,Parliamentary,0.6613
2008,318465.0,0.6181,409315.0,0,Parliamentary,0.7945
2007,269337.0,0.3716,397674.0,0,Parliamentary,0.5487
2020,7332926.0,0.8756999999999999,7404475.0,1,Parliamentary,0.8842
2019,7076933.0,0.8653,7235433.0,1,Parliamentary,0.8847
2014,5973901.0,0.8619,6060980.0,1,Parliamentary,0.8745
2009,5139554.0,0.8554999999999999,5680498.0,1,Parliamentary,0.9455
2005,3671152.0,0.6344,4890318.0,1,Parliamentary,0.8451000000000001
2002,4155055.0,0.6681999999999999,4480674.0,1,Parliamentary,0.7206
1997,3252501.0,0.6454000000000001,3596616.0,1,Parliamentary,0.7136
1993,2399197.0,0.5001,3461850.0,1,Parliamentary,0.7216
1989,2136587.0,0.5097999999999999,3086880.0,1,Parliamentary,0.7365999999999999
